id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
341;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
342;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
343;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
344;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
345;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
346;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
347;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
348;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
349;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
350;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
351;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
352;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
353;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
354;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
355;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
356;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
357;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
358;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
359;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
360;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
