id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
248;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
249;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
250;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
251;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
252;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
253;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
254;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
255;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Samambaia;yes;-;-
256;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;unpaved
257;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;unpaved
258;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;unpaved
259;-;-;-;-;-;service;-;-;-;-;-;-;-;-;-
260;-;-;-;-;-;service;-;-;-;-;-;-;-;-;-
261;-;-;-;-;-;service;-;-;-;-;-;-;-;-;-
262;-;-;-;-;-;service;-;-;-;-;-;-;-;-;-
263;-;-;-;-;-;service;-;-;-;-;-;-;-;-;-
264;-;-;-;-;-;service;-;-;-;-;-;-;yes;-;-
265;-;-;-;-;-;service;-;-;-;-;-;-;yes;-;-
266;-;-;-;-;-;track;-;-;-;-;-;-;-;-;unpaved
267;-;-;-;-;-;service;-;-;-;-;-;-;-;-;-
268;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
269;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
270;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
271;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
272;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
273;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
274;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
275;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
276;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
277;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
278;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
